time,I_AML1,I_AMD1,I_AMD2,I_AMIout,V_VMSw1,V_VMSw2,V_VML1,V_VMC1,V_VMp,V_VMD1,V_VMS1,V_VMD2,V_VMS2,V_VMout
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,915.0247192383,0.0000000000,84.9752960205,0.0000000000,0.0000000000,-2.4856126308,-2.4856126308,0.0000000000
0.0000005000,7.2931046486,122.7883300781,0.0000000000,122.7883300781,0.0000000000,1000.0000000000,850.5295410156,70.0086441040,79.4617767334,0.0000000000,0.0282661058,-2.3666648865,-2.3383986950,0.0282661058
0.0000010000,13.5581083298,228.2381286621,0.0000000000,228.2381286621,0.0000000000,1000.0000000000,656.7032470703,280.4050292969,62.8917465210,0.0000000000,0.1131944358,-2.0091538429,-1.8959594965,0.1131944358
0.0000015000,17.8366622925,300.1871948242,0.0000000000,300.1871948242,0.0000000000,1000.0000000000,361.5351867676,600.8082275391,37.6565742493,0.0000000000,0.2424357980,-1.4645371437,-1.2221013308,0.2424357980
0.0000020000,19.4610500336,327.3748779297,0.0000000000,327.3748779297,0.0000000000,1000.0000000000,8.6345520020,983.8825683594,7.4828796387,0.0000000000,0.3967947066,-0.8130766153,-0.4162819386,0.3967947066
0.0000025000,18.1582012177,305.1960449219,0.0000000000,305.1960449219,0.0000000000,1000.0000000000,-349.2067260742,1372.3242187500,-23.1174926758,0.0000000000,0.5530626774,-0.1519944668,0.4010682106,0.5530626774
0.0000030000,14.0950670242,236.4664001465,0.0000000000,236.4664001465,0.0000000000,1000.0000000000,-707.4270019531,1707.4270019531,0.0000000000,0.0000000000,0.6874879599,0.0000000000,0.6874879599,0.6874879599
0.0000035000,7.8214426041,145.5391235352,15.2354278564,160.7745513916,0.0000000000,1000.0000000000,-876.3908691406,1937.6354980469,-61.2446060181,0.0000000000,0.7860427499,0.0000000000,0.7860427499,0.7860427499
0.0000040000,0.2815794945,39.8284645081,37.1148681641,76.9433288574,0.0000000000,1000.0000000000,-959.4204711914,2026.4674072266,-67.0469436646,0.0000000000,0.8448411226,0.0000000000,0.8448411226,0.8448411226
0.0000045000,-7.3814573288,0.0000000000,58.0869064331,58.0869064331,0.0000000000,1000.0000000000,-958.7976074219,1958.7976074219,0.0000000000,-0.8609054089,0.0000000000,0.0000000000,0.8609054089,0.8609054089
0.0000050000,-13.7500038147,0.0000000000,164.8585205078,164.8585205078,1000.0000000000,0.0000000000,-1583.1843261719,1745.5806884766,-162.3963775635,-6.1173496246,-5.2044253349,0.0000000000,0.9129240513,0.9129240513
0.0000055000,-25.4013843536,0.0000000000,360.5335998535,360.5335998535,1000.0000000000,0.0000000000,-1219.6954345703,1350.4437255859,-130.7483367920,-5.3790898323,-4.3409709930,0.0000000000,1.0381189585,1.0381189585
0.0000060000,-33.3343963623,0.0000000000,493.5174560547,493.5174560547,1000.0000000000,0.0000000000,-667.9511718750,750.9518432617,-83.0006561279,-4.2929019928,-3.0474495888,0.0000000000,1.2454526424,1.2454526424
0.0000065000,-36.3106651306,0.0000000000,542.9256591797,542.9256591797,1000.0000000000,0.0000000000,-9.4800281525,35.6005668640,-26.1205387115,-3.0088574886,-1.5098094940,0.0000000000,1.4990479946,1.4990479946
0.0000070000,-33.8289184570,0.0000000000,500.3047790527,500.3047790527,1000.0000000000,0.0000000000,657.2042236328,-688.6766357422,31.4724254608,-1.7083973885,0.0472083092,0.0000000000,1.7556056976,1.7556056976
0.0000075000,-26.2084064484,0.0000000000,371.0390625000,371.0390625000,1000.0000000000,0.0000000000,1231.3302001953,-1312.4951171875,81.1649322510,-0.5772123337,1.3936674595,0.0000000000,1.9708797932,1.9708797932
0.0000080000,-14.5490541458,0.0000000000,173.6788024902,173.6788024902,1000.0000000000,0.0000000000,1740.5416259766,-1740.5416259766,0.0000000000,0.0000000000,2.1063623428,0.0000000000,2.1063623428,2.1063623428
0.0000085000,-0.5505914688,9.3011779785,0.0000000000,9.3011779785,1000.0000000000,0.0000000000,1906.0394287109,-1906.0394287109,0.0000000000,0.0000000000,2.1374862194,-2.1374862194,0.0000000000,2.1374862194
0.0000090000,13.1263036728,238.4637451172,0.0000000000,238.4637451172,1000.0000000000,0.0000000000,1600.5393066406,-1786.0954589844,185.5561065674,0.0000000000,2.1926918030,-8.7112312317,-6.5185389519,2.1926918030
